family,setting,protocol,initialization,cm_variant,seed_count,seeds,init_scale,round_budget,initial_score,reported_score,last_round_score,individual_ft,delta_vs_ft_pp,sources
CLIP,ViT-B/32 / 8,benchmark repeated calibration,Iso-C,original,4,"0,1,2,3",1.3,,,87.05920101755822,,89.96382539165397,-2.9046243740957465,experiments/github_runs/results/coexist_inkrl_seed0.json;experiments/github_runs/results/coexist_inkrl_seed1.json;experiments/github_runs/results/coexist_main_seed2.json;experiments/github_runs/results/coexist_main_seed3.json
CLIP,ViT-B/32 / 8,benchmark paired initialization study,Iso-C,original,1,0,,4,,87.05576222326292,,89.96382539165397,-2.9080631683910525,docs/experiment_inventory/2026-09-16/remote_snapshot/reports/latex/cm_multistart_motivation/data/original/completion.json
CLIP,ViT-B/32 / 8,benchmark paired initialization study,WeightAvg,original,1,0,,4,,85.31243754982592,,89.96382539165397,-4.651387841828054,docs/experiment_inventory/2026-09-16/remote_snapshot/reports/latex/cm_multistart_motivation/data/original/completion.json
CLIP,ViT-B/32 / 8,benchmark paired initialization study,RegMean,original,1,0,,4,,85.54889121353875,,89.96382539165397,-4.414934178115217,docs/experiment_inventory/2026-09-16/remote_snapshot/reports/latex/cm_multistart_motivation/data/original/completion.json
CLIP,ViT-B/32 / 8,benchmark paired initialization study,未拉平控制,original,1,0,,4,,78.80345730369888,,89.96382539165397,-11.160368087955092,docs/experiment_inventory/2026-09-16/remote_snapshot/reports/latex/cm_multistart_motivation/data/original/completion.json
CLIP,ViT-B/32 / 8,workbench paired initialization study,Iso-C,original,1,0,,4,81.3983511515321,86.60452711350209,86.64999925359396,89.96382539165398,-3.359298278151897,wb/results_ablation/abl_init_coexist_iso_c.json
CLIP,ViT-B/32 / 8,workbench paired initialization study,TSV-M,original,1,0,,4,79.64455190509983,86.38312443101569,86.4016064168725,89.96382539165398,-3.5807009606382962,wb/results_ablation/abl_init_coexist_tsv_m.json
CLIP,ViT-B/32 / 8,workbench paired initialization study,RegMean,original,1,0,,4,80.53342693658584,85.31847582115186,85.31847582115186,89.96382539165398,-4.64534957050212,wb/results_ablation/abl_init_coexist_regmean.json
CLIP,ViT-B/32 / 8,workbench paired initialization study,Zero-shot,original,1,0,,4,46.6984535992824,85.25409661111848,85.25409661111848,89.96382539165398,-4.7097287805354995,wb/results_ablation/abl_init_coexist_zeroshot.json
CLIP,ViT-B/32 / 8,workbench paired initialization study,WeightAvg,original,1,0,,4,62.099871610177196,85.1180905908503,85.1180905908503,89.96382539165398,-4.845734800803683,wb/results_ablation/abl_init_coexist_average.json
CLIP,ViT-B/32 / 8,workbench paired initialization study,Task Arithmetic,original,1,0,,4,65.54117051194929,85.08584202314917,85.08584202314917,89.96382539165398,-4.877983368504815,wb/results_ablation/abl_init_coexist_ta.json
