id,family,setting,implementation,method,seed,seed_evidence,target_interpolation,featcal_interpolation,stats_samples_per_task,holdout_samples_per_task,max_rounds,cg_iterations,solver_initialization,complete_evaluation,in_published_snapshot,score,config_source,result_source
smoke_coexist,T5,base,nlp/merge_t5.py,CM,0,logged,0,,16,16,1,100,current model,False,False,,experiments/nlp_runs/merged/smoke_coexist.log.json,
smoke_featcal,T5,base,nlp/featcal_t5.py,FeatCal port,0,logged,,0.6,16,0,1,,direct linear solve; no CG,False,False,,experiments/nlp_runs/merged/smoke_featcal.log.json,
t5_coexist_a2.0,T5,base,nlp/merge_t5.py,CM,0,logged,0,,256,256,4,100,current model,True,False,84.82302953148228,experiments/nlp_runs/merged/t5_coexist_a2.0.log.json,experiments/nlp_runs/results/t5_coexist_a2.0.json
t5_coexist_a3.0,T5,base,nlp/merge_t5.py,CM,0,logged,0,,256,256,4,100,current model,True,False,84.73481434846141,experiments/nlp_runs/merged/t5_coexist_a3.0.log.json,experiments/nlp_runs/results/t5_coexist_a3.0.json
t5_coexist_freezehead,T5,base,nlp/merge_t5.py,CM,0,logged,0,,256,256,4,100,current model,True,False,84.80344080836014,experiments/nlp_runs/merged/t5_coexist_freezehead.log.json,experiments/nlp_runs/results/t5_coexist_freezehead.json
t5_coexist_from_featcal,T5,base,nlp/merge_t5.py,CM,0,logged,0,,256,256,4,100,current model,True,True,84.8182459138451,experiments/nlp_runs/merged/t5_coexist_from_featcal.log.json,experiments/nlp_runs/results/t5_coexist_from_featcal.json
t5_coexist_from_regmean0.9,T5,base,nlp/merge_t5.py,CM,0,logged,0,,256,256,4,100,current model,True,True,84.78151121762886,experiments/nlp_runs/merged/t5_coexist_from_regmean0.9.log.json,experiments/nlp_runs/results/t5_coexist_from_regmean0.9.json
t5_coexist_n128,T5,base,nlp/merge_t5.py,CM,0,logged,0,,128,128,4,100,current model,True,False,84.82118698232435,experiments/nlp_runs/merged/t5_coexist_n128.log.json,experiments/nlp_runs/results/t5_coexist_n128.json
t5_coexist_n256,T5,base,nlp/merge_t5.py,CM,0,logged,0,,256,256,4,100,current model,True,True,84.8455535396478,experiments/nlp_runs/merged/t5_coexist_n256.log.json,experiments/nlp_runs/results/t5_coexist_n256.json
t5_coexist_n512,T5,base,nlp/merge_t5.py,CM,0,logged,0,,512,256,4,100,current model,True,False,84.90270878951385,experiments/nlp_runs/merged/t5_coexist_n512.log.json,experiments/nlp_runs/results/t5_coexist_n512.json
t5_coexist_r8,T5,base,nlp/merge_t5.py,CM,0,logged,0,,256,256,8,100,current model,True,False,84.76174425801196,experiments/nlp_runs/merged/t5_coexist_r8.log.json,experiments/nlp_runs/results/t5_coexist_r8.json
t5_coexist_seed1,T5,base,nlp/merge_t5.py,CM,1,logged,0,,256,256,4,100,current model,True,True,84.92465767836862,experiments/nlp_runs/merged/t5_coexist_seed1.log.json,experiments/nlp_runs/results/t5_coexist_seed1.json
t5_coexist_seed2,T5,base,nlp/merge_t5.py,CM,2,logged,0,,256,256,4,100,current model,True,True,84.91284235744656,experiments/nlp_runs/merged/t5_coexist_seed2.log.json,experiments/nlp_runs/results/t5_coexist_seed2.json
t5_coexist_seed3,T5,base,nlp/merge_t5.py,CM,3,logged,0,,256,256,4,100,current model,True,True,84.92044530138138,experiments/nlp_runs/merged/t5_coexist_seed3.log.json,experiments/nlp_runs/results/t5_coexist_seed3.json
t5_coexist_seed4,T5,base,nlp/merge_t5.py,CM,4,logged,0,,256,256,4,100,current model,True,True,84.97431848838937,experiments/nlp_runs/merged/t5_coexist_seed4.log.json,experiments/nlp_runs/results/t5_coexist_seed4.json
t5_coexist_tgt0.15,T5,base,nlp/merge_t5.py,CM,0,logged,0.15,,256,256,4,100,current model,True,False,85.3463933522085,experiments/nlp_runs/merged/t5_coexist_tgt0.15.log.json,experiments/nlp_runs/results/t5_coexist_tgt0.15.json
t5_coexist_tgt0.3,T5,base,nlp/merge_t5.py,CM,0,logged,0.3,,256,256,4,100,current model,True,True,85.58767619261754,experiments/nlp_runs/merged/t5_coexist_tgt0.3.log.json,experiments/nlp_runs/results/t5_coexist_tgt0.3.json
t5_coexist_tgt0.3_r6,T5,base,nlp/merge_t5.py,CM,0,logged,0.3,,256,256,6,100,current model,True,False,85.58767619261754,experiments/nlp_runs/merged/t5_coexist_tgt0.3_r6.log.json,experiments/nlp_runs/results/t5_coexist_tgt0.3_r6.json
t5_coexist_tgt0.3_seed1,T5,base,nlp/merge_t5.py,CM,1,logged,0.3,,256,256,4,100,current model,True,True,85.68676177486901,experiments/nlp_runs/merged/t5_coexist_tgt0.3_seed1.log.json,experiments/nlp_runs/results/t5_coexist_tgt0.3_seed1.json
t5_coexist_tgt0.3_seed2,T5,base,nlp/merge_t5.py,CM,2,logged,0.3,,256,256,4,100,current model,True,True,85.64120182096495,experiments/nlp_runs/merged/t5_coexist_tgt0.3_seed2.log.json,experiments/nlp_runs/results/t5_coexist_tgt0.3_seed2.json
t5_coexist_tgt0.3_seed3,T5,base,nlp/merge_t5.py,CM,3,logged,0.3,,256,256,4,100,current model,True,True,85.62594904463126,experiments/nlp_runs/merged/t5_coexist_tgt0.3_seed3.log.json,experiments/nlp_runs/results/t5_coexist_tgt0.3_seed3.json
t5_coexist_tgt0.45,T5,base,nlp/merge_t5.py,CM,0,logged,0.45,,256,256,4,100,current model,True,False,85.4638676926734,experiments/nlp_runs/merged/t5_coexist_tgt0.45.log.json,experiments/nlp_runs/results/t5_coexist_tgt0.45.json
t5_coexist_tgt0.6,T5,base,nlp/merge_t5.py,CM,0,logged,0.6,,256,256,4,100,current model,True,True,85.7001527923277,experiments/nlp_runs/merged/t5_coexist_tgt0.6.log.json,experiments/nlp_runs/results/t5_coexist_tgt0.6.json
t5_coexist_tgt0.6_seed1,T5,base,nlp/merge_t5.py,CM,1,logged,0.6,,256,256,4,100,current model,True,True,85.85632839545679,experiments/nlp_runs/merged/t5_coexist_tgt0.6_seed1.log.json,experiments/nlp_runs/results/t5_coexist_tgt0.6_seed1.json
t5_coexist_tgt0.6_seed2,T5,base,nlp/merge_t5.py,CM,2,logged,0.6,,256,256,4,100,current model,True,True,85.74130768953636,experiments/nlp_runs/merged/t5_coexist_tgt0.6_seed2.log.json,experiments/nlp_runs/results/t5_coexist_tgt0.6_seed2.json
t5_coexist_unnorm,T5,base,nlp/merge_t5.py,CM,0,logged,0.0,,256,256,4,100,current model,True,False,84.97243671530157,experiments/nlp_runs/merged/t5_coexist_unnorm.log.json,experiments/nlp_runs/results/t5_coexist_unnorm.json
t5_featcal,T5,base,nlp/featcal_t5.py,FeatCal port,0,logged,,0.6,256,0,1,,direct linear solve; no CG,True,True,84.55565558922835,experiments/nlp_runs/merged/t5_featcal.log.json,experiments/nlp_runs/results/t5_featcal.json
t5_featcal_on_coexist,T5,base,nlp/featcal_t5.py,FeatCal port,0,logged,,0.6,256,0,1,,direct linear solve; no CG,True,True,84.63962845426103,experiments/nlp_runs/merged/t5_featcal_on_coexist.log.json,experiments/nlp_runs/results/t5_featcal_on_coexist.json
t5_featcal_seed1,T5,base,nlp/featcal_t5.py,FeatCal port,1,logged,,0.6,256,0,1,,direct linear solve; no CG,True,True,84.97701934577134,experiments/nlp_runs/merged/t5_featcal_seed1.log.json,experiments/nlp_runs/results/t5_featcal_seed1.json
t5_featcal_seed2,T5,base,nlp/featcal_t5.py,FeatCal port,2,logged,,0.6,256,0,1,,direct linear solve; no CG,True,True,85.08038868925428,experiments/nlp_runs/merged/t5_featcal_seed2.log.json,experiments/nlp_runs/results/t5_featcal_seed2.json
t5_featcal_seed3,T5,base,nlp/featcal_t5.py,FeatCal port,3,logged,,0.6,256,0,1,,direct linear solve; no CG,True,True,84.89878242463189,experiments/nlp_runs/merged/t5_featcal_seed3.log.json,experiments/nlp_runs/results/t5_featcal_seed3.json
t5_featcal_seed4,T5,base,nlp/featcal_t5.py,FeatCal port,4,logged,,0.6,256,0,1,,direct linear solve; no CG,True,True,84.67149209903752,experiments/nlp_runs/merged/t5_featcal_seed4.log.json,experiments/nlp_runs/results/t5_featcal_seed4.json
t5_stack_featcal_on_tgt0.3,T5,base,nlp/featcal_t5.py,FeatCal port,0,logged,,0.6,256,0,1,,direct linear solve; no CG,True,True,84.7754846905658,experiments/nlp_runs/merged/t5_stack_featcal_on_tgt0.3.log.json,experiments/nlp_runs/results/t5_stack_featcal_on_tgt0.3.json
t5_stack_tgt0.3_from_featcal,T5,base,nlp/merge_t5.py,CM,0,logged,0.3,,256,256,4,100,current model,True,True,85.44329953590557,experiments/nlp_runs/merged/t5_stack_tgt0.3_from_featcal.log.json,experiments/nlp_runs/results/t5_stack_tgt0.3_from_featcal.json
t5l_coexist,T5,large,nlp/merge_t5.py,CM,0,logged,0.0,,256,256,4,100,current model,True,True,88.9861073119702,experiments/nlp_runs/merged/t5l_coexist.log.json,experiments/nlp_runs/results/t5l_coexist.json
